timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2022-01-01,0.0,1000000.0,0.0,1000000.0,0.0
2022-01-02,0.0,1000000.0,0.0,990854.0284330396,0.009145971566960398
2022-01-03,0.0,1000000.0,0.0,973250.6472293554,0.01776586732106511
2022-01-04,0.0,1000000.0,0.0,960382.7532628636,0.013221562197902492
2022-01-05,0.0,1000000.0,0.0,910492.8163042075,0.0519479726069183
2022-01-06,0.0,1000000.0,0.0,902764.410610056,0.008488156694659077
2022-01-07,0.0,1000000.0,0.0,871001.0864861861,0.0351845107655554
2022-01-08,0.0,1000000.0,0.0,873374.3830235745,-0.002724791707163998
2022-01-09,0.0,1000000.0,0.0,877248.4344436027,-0.004435728245905768
2022-01-10,0.0,1000000.0,0.0,876365.6251276907,0.0010063390041520348
2022-01-11,0.0,1000000.0,0.0,895367.0846023847,-0.021682114096984728
2022-01-12,0.0,1000000.0,0.0,919954.361293851,-0.027460554575093665
2022-01-13,0.0,1000000.0,0.0,891822.0174277832,0.03058015163545902
2022-01-14,0.0,1000000.0,0.0,902296.0795345606,-0.011744565509816507
2022-01-15,0.0,1000000.0,0.0,902805.9003429188,-0.0005650260706233645
2022-01-16,0.0,1000000.0,0.0,902541.2461378402,0.0002931462953200681
2022-01-17,0.0,1000000.0,0.0,884310.070794476,0.020199825128634497
2022-01-18,0.0,1000000.0,0.0,887463.7095802517,-0.003566213808853691
2022-01-19,0.0,1000000.0,0.0,872960.9525036853,0.01634180296051302
2022-01-20,0.0,1000000.0,0.0,852444.4891471867,0.023502154704235556
2022-01-21,0.0,1000000.0,0.0,763689.9878778732,0.10411763158690412
2022-01-22,0.0,1000000.0,0.0,734900.9327855848,0.03769730590849685
2022-01-23,0.0,1000000.0,0.0,759483.1804185221,-0.033449743409305954
2022-01-24,0.0,1000000.0,0.0,768196.0243196884,-0.011472069593911227
2022-01-25,0.0,1000000.0,0.0,774439.8100273138,-0.008127854753159802
2022-01-26,0.0,1000000.0,0.0,771318.0219455537,0.004031027384361674
2022-01-27,0.0,1000000.0,0.0,778667.9909854122,-0.009529103211304513
2022-01-28,0.0,1000000.0,0.0,790328.2822726731,-0.01497466368497391
2022-01-29,0.0,1000000.0,0.0,799763.6342491455,-0.011938522495158699
2022-01-30,0.0,1000000.0,0.0,793789.9508933387,0.0074693110564038045
2022-01-31,0.0,1000000.0,0.0,806051.2146747927,-0.015446484007078931
2022-02-01,0.0,1000000.0,0.0,810822.3244098974,-0.005919114875386322
2022-02-02,0.0,1000000.0,0.0,773141.4747504591,0.046472388000493026
2022-02-03,0.0,1000000.0,0.0,781842.7937258302,-0.011254497733651725
2022-02-04,0.0,1000000.0,0.0,871163.9022560564,-0.11424433306415893
2022-02-05,0.0,1000000.0,0.0,867147.7799325895,0.004610065124446061
2022-02-06,0.0,1000000.0,0.0,888066.1488831823,-0.02412318803632174
2022-02-07,0.0,1000000.0,0.0,918641.1483855151,-0.03442874108058658
2022-02-08,0.0,1000000.0,0.0,922894.8937244684,-0.004630475508776266
2022-02-09,0.0,1000000.0,0.0,929804.1915107397,-0.007486548937753801
2022-02-10,0.0,1000000.0,0.0,911421.3062350898,0.01977070596528674
2022-02-11,0.0,1000000.0,0.0,887916.5343919502,0.025789140194926174
2022-02-12,0.0,1000000.0,0.0,884650.5799656977,0.003678222332563097
2022-02-13,0.0,1000000.0,0.0,881209.6562114636,0.0038895851448687013
2022-02-14,0.0,1000000.0,0.0,891315.549325111,-0.01146820514552127
2022-02-15,0.0,1000000.0,0.0,933411.28374053,-0.04722876701443535
2022-02-16,0.0,1000000.0,0.0,919344.5879472326,0.015070201141052064
2022-02-17,0.0,1000000.0,0.0,848982.6109824161,0.07653493356819008
2022-02-18,0.0,1000000.0,0.0,837640.8267353135,0.013359265667383102
2022-02-19,0.0,1000000.0,0.0,839835.3821508236,-0.0026199241315199018
2022-02-20,0.0,1000000.0,0.0,804374.6522877503,0.042223429277602254
2022-02-21,0.0,1000000.0,0.0,775484.1778484641,0.035916689265527824
2022-02-22,0.0,1000000.0,0.0,801094.0297741222,-0.03302433841617636
2022-02-23,0.0,1000000.0,0.0,780552.002036769,0.025642467642837508
2022-02-24,0.0,1000000.0,0.0,803124.0930669191,-0.02891811304211722
2022-02-25,0.0,1000000.0,0.0,821814.5890892482,-0.02327223922638777
2022-02-26,0.0,1000000.0,0.0,819667.8097297617,0.0026122429413982795
